scenario_id,exp,speed_kmh,distance_m,yellow_time_s,intersection_width_m,road_condition,ego_type,rear_speed_kmh,gap_m,rear_type,theoretical_pass,can_stop_emg,rear_collision_theory,decision,zone,pass_before_red,actual_travel_time_s,avg_speed_kmh,final_speed_kmh,time_margin_s,actual_collision,min_gap_m,safe_stop,red_entry,success,match_theory,timestamp,error,stop_overrun_m,dist_to_stopline_m,in_crosswalk,in_intersection,past_intersection,is_dilemma_zone,decision_feasible
0,3,30,10,3.0,12,dry,sedan,0,0,,False,False,False,급정지,딜레마,False,1.7,0,0.0,0,False,999.0,True,False,True,False,2026-05-03T19:36:21.026615,,-1.94,1.94,False,False,False,True,True
1,3,30,10,3.0,12,dry,sedan,35,15,sedan,False,False,False,급정지,딜레마,False,1.55,0,0.0,0,False,9.88,True,False,True,False,2026-05-03T19:36:21.905790,,3.02,3.02,True,False,False,True,True
2,3,30,10,4.0,12,dry,sedan,0,0,,True,False,False,진행,일반,False,3.2,0,30.0,0,False,999.0,False,False,True,False,2026-05-03T19:36:22.923578,,34.77,34.77,False,False,True,False,True
3,3,30,10,4.0,12,dry,sedan,35,15,sedan,True,False,False,진행,일반,False,3.2,0,30.0,0,False,14.87,False,False,True,False,2026-05-03T19:36:24.374722,,43.64,43.64,False,False,True,False,True
4,3,30,10,5.0,12,dry,sedan,0,0,,True,False,False,진행,일반,False,3.2,0,30.0,0,False,999.0,False,False,True,False,2026-05-03T19:36:26.016721,,34.77,34.77,False,False,True,False,True
5,3,30,10,5.0,12,dry,sedan,35,15,sedan,True,False,False,진행,일반,False,3.2,0,30.0,0,False,14.85,False,False,True,False,2026-05-03T19:36:27.467723,,43.63,43.63,False,False,True,False,True
6,3,30,20,3.0,12,dry,sedan,0,0,,False,True,False,급정지,일반,False,3.4,0,0.6,0,False,999.0,True,False,True,False,2026-05-03T19:36:29.113637,,-2.13,2.13,False,False,False,False,True
7,3,30,20,3.0,12,dry,sedan,35,15,sedan,False,True,False,급정지,일반,False,1.95,0,0.0,0,False,11.63,True,False,True,False,2026-05-03T19:36:30.237055,,-1.89,1.89,False,False,False,False,True
8,3,30,20,4.0,12,dry,sedan,0,0,,False,True,False,급정지,일반,False,3.4,0,0.6,0,False,999.0,True,False,True,False,2026-05-03T19:36:31.316748,,-2.13,2.13,False,False,False,False,True
9,3,30,20,4.0,12,dry,sedan,35,15,sedan,False,True,False,급정지,일반,False,1.95,0,0.0,0,False,11.63,True,False,True,False,2026-05-03T19:36:32.457573,,-1.89,1.89,False,False,False,False,True
10,3,30,20,5.0,12,dry,sedan,0,0,,True,True,False,진행,옵션,False,4.4,0,30.0,0,False,999.0,False,False,True,False,2026-05-03T19:36:33.533593,,34.76,34.76,False,False,True,False,True
